zeta,lambda,M_max,omega_M_max,Q_max,C_eff_max,R99_M_max,B_min
-0.1,-3.75,0.56866,0.78108,0.66937,0.09686,11.02653,-0.011041425
-0.1,-3.125,0.59239,0.7737,0.69852,0.09908,10.52733,-0.012546065
-0.1,-2.5,0.61791,0.7657,0.72999,0.10153,10.04842,-0.014285243
-0.1,-1.875,0.64495,0.75868,0.76349,0.10399,9.69739,-0.016253075
-0.1,-1.25,0.67311,0.75157,0.7985,0.10642,9.38612,-0.018421285
-0.1,-0.625,0.70191,0.74607,0.83442,0.10875,9.2016,-0.020721597
-0.1,0,0.73092643,0.740947522,0.870670688,0.110979726,9.076913407,-0.023096504
-0.1,5,0.94874,0.72819,1.14337,0.12495,9.45111,-0.041448806
-0.1,10,1.13357,0.72478,1.37439,0.13415,10.24599,-0.056689334
-0.1,15,1.29412,0.72313,1.57464,0.14076,11.03869,-0.069560921
-0.1,20,1.437512832,0.722748902,1.753232964,0.145786785,11.76276899,-0.080831454
-0.09,-20,0.30857,0.86039,0.3512,0.02246,21.91026,-0.001704243
-0.09,-17.5,0.32704,0.85727,0.37249,0.02579,20.54029,-0.002039444
-0.09,-15,0.34923,0.85318,0.39813,0.03028,19.06073,-0.002499993
-0.09,-13.75,0.36214,0.85057,0.41307,0.03318,18.25225,-0.002793431
-0.09,-12.5,0.37655,0.84764,0.42979,0.03671,17.45847,-0.003154752
-0.09,-11.25,0.39278,0.84411,0.44866,0.04109,16.62034,-0.003595495
-0.09,-10,0.41122,0.84004,0.47017,0.04669,15.78911,-0.004152725
-0.09,-9.375,0.42143,0.83736,0.48209,0.05013,15.27906,-0.004480468
-0.09,-8.75,0.4324,0.83461,0.49493,0.05414,14.81272,-0.004853994
-0.09,-8.125,0.44421,0.83162,0.50879,0.05888,14.38414,-0.00528398
-0.09,-7.5,0.45698,0.8278,0.5238,0.06464,13.82091,-0.005782267
-0.09,-6.875,0.47082,0.82386,0.54011,0.07179,13.31269,-0.006351372
-0.09,-6.25,0.48585,0.81949,0.55787,0.08122,12.80573,-0.007011484
-0.09,-5.625,0.50222,0.81437,0.57728,0.09404,12.26628,-0.007789291
-0.09,-5,0.52007,0.80906,0.59851,0.09394,11.78083,-0.008696147
-0.09,-4.375,0.53954,0.80262,0.62177,0.09531,11.24247,-0.009765245
-0.09,-3.75,0.56073,0.79563,0.64718,0.09718,10.72936,-0.011023766
-0.09,-3.125,0.58367,0.78804,0.6748,0.09942,10.24294,-0.012494716
-0.09,-2.5,0.60825,0.78013,0.70454,0.10179,9.79928,-0.01417975
-0.09,-1.875,0.63422,0.77295,0.73609,0.10419,9.4535,-0.016082667
-0.09,-1.25,0.6612,0.76632,0.76898,0.10651,9.18748,-0.018167079
-0.09,-0.625,0.68876,0.76074,0.80267,0.10882,9.00806,-0.020370584
-0.09,0,0.71651,0.75678,0.83666,0.11099,8.92249,-0.022642621
-0.09,5,0.92523,0.74276,1.09282,0.12467,9.2392,-0.040226574
-0.09,10,1.103,0.73922,1.31065,0.13378,9.99518,-0.054897803
-0.09,15,1.25771,0.73773,1.49984,0.14034,10.77304,-0.067329292
-0.09,20,1.39605,0.73627,1.66875,0.14534,11.47357,-0.078210873
-0.08,-20,0.3062,0.87556,0.34225,0.02303,21.19428,-0.001734444
-0.08,-17.5,0.32447,0.87234,0.36292,0.02644,19.88795,-0.002066989
-0.08,-15,0.3464,0.86819,0.38781,0.03106,18.50452,-0.0025304
-0.08,-13.75,0.35914,0.8655,0.4023,0.03404,17.72594,-0.002828595
-0.08,-12.5,0.37335,0.8627,0.4185,0.03766,17.0355,-0.003191275
-0.08,-11.25,0.38935,0.85883,0.43678,0.04217,16.15083,-0.003638438
-0.08,-10,0.40752,0.85424,0.45759,0.04794,15.25357,-0.004192935
-0.08,-9.375,0.41756,0.85178,0.46912,0.05149,14.83688,-0.004526884
